year,month,tmax,tmin,rain_mm
1951,1,7.9,3.9,106.2
1951,2,8.3,2.8,96.3
1951,3,8.6,3.5,102.1
1951,4,11.4,4.2,94.2
1951,5,14.1,7.0,59.9
1951,6,18.6,10.7,21.8
1951,7,20.2,12.2,39.1
1951,8,18.4,12.3,118.4
1951,9,18.0,12.6,68.6
1951,10,15.3,7.9,38.6
1951,11,12.1,7.7,102.1
1951,12,9.9,6.1,90.9
1952,1,7.5,3.4,94.7
1952,2,8.3,2.6,32.0
1952,3,10.8,5.9,66.8
1952,4,13.9,6.2,108.2
1952,5,17.3,9.4,75.7
1952,6,18.1,10.9,41.1
1952,7,20.9,13.6,24.4
1952,8,20.3,13.2,138.7
1952,9,15.9,9.3,100.1
1952,10,13.9,8.1,108.2
1952,11,8.7,4.8,122.2
1952,12,8.1,3.6,109.7
1953,1,7.7,2.7,27.9
1953,2,8.3,2.8,41.7
1953,3,12.6,2.2,31.0
1953,4,12.8,4.9,51.1
1953,5,17.2,8.7,71.9
1953,6,18.4,10.6,29.0
1953,7,19.4,13.2,140.0
1953,8,20.3,13.1,87.4
1953,9,17.8,11.4,111.5
1953,10,15.7,7.8,50.8
1953,11,12.4,7.8,71.9
1953,12,11.6,7.2,31.2
1954,1,7.4,3.5,55.6
1954,2,7.9,2.4,105.2
1954,3,10.6,4.9,64.3
1954,4,13.1,4.1,16.8
1954,5,15.4,8.2,59.9
1954,6,17.1,10.9,66.5
1954,7,16.7,12.3,110.0
1954,8,18.2,12.4,73.7
1954,9,17.3,11.3,97.5
1954,10,15.8,10.8,100.1
1954,11,12.0,6.1,172.2
1954,12,10.2,6.8,96.0
1955,1,7.6,3.4,112.3
1955,2,5.8,0.2,73.2
1955,3,8.4,0.7,26.7
1955,4,14.0,6.0,50.8
1955,5,14.7,7.4,99.6
1955,6,17.9,11.6,82.3
1955,7,23.1,12.8,20.1
1955,8,24.3,13.9,6.6
1955,9,19.3,11.5,49.5
1955,10,14.4,7.7,52.6
1955,11,11.7,5.0,54.9
1955,12,10.7,6.4,135.4
1956,1,8.7,4.1,98.0
1956,2,4.1,-1.6,13.2
1956,3,11.5,4.0,18.8
1956,4,12.6,3.6,41.7
1956,5,16.5,7.9,20.8
1956,6,17.4,10.1,44.2
1956,7,19.6,12.8,116.1
1956,8,17.9,11.7,76.2
1956,9,18.1,12.9,126.0
1956,10,14.7,8.4,62.0
1956,11,10.5,5.9,37.6
1956,12,9.8,6.2,93.0
1957,1,9.2,5.2,64.8
1957,2,10.0,4.8,128.5
1957,3,13.7,8.3,76.7
1957,4,14.3,6.6,5.1
1957,5,15.9,7.6,52.6
1957,6,21.1,10.5,40.6
1957,7,20.2,13.8,79.2
1957,8,19.4,13.1,80.5
1957,9,17.1,11.7,115.3
1957,10,15.8,9.8,108.7
1957,11,10.0,5.6,49.3
1957,12,8.9,4.1,49.0
1958,1,7.9,3.6,66.8
1958,2,9.7,5.9,100.3
1958,3,8.6,2.8,22.6
1958,4,12.0,4.7,21.3
1958,5,15.5,8.3,71.9
1958,6,17.4,10.8,100.3
1958,7,19.4,12.8,55.4
1958,8,19.1,13.6,128.3
1958,9,19.8,13.1,132.1
1958,10,14.9,9.9,108.7
1958,11,11.0,6.3,99.8
1958,12,9.2,4.4,105.2
1986,4,9.6,3.6,76.3
1986,5,14.8,7.9,53.4
1986,6,19.1,11.2,84.6
1986,7,18.9,12.6,38.6
1986,8,17.3,11.1,146.5
1986,9,16.1,8.1,22.8
1986,10,15.6,9.0,98.5
1986,11,12.2,5.4,120.3
1986,12,10.9,5.0,141.7
1987,1,5.0,0.3,19.1
1987,2,8.2,2.2,61.7
1987,3,9.1,2.8,86.1
1987,4,14.9,6.5,50.9
1987,5,15.1,7.2,45.9
1987,6,16.7,10.4,71.1
1987,7,20.4,12.7,38.6
1987,8,20.4,12.6,38.7
1987,9,18.5,10.9,65.7
1987,10,14.4,7.6,164.1
1987,11,11.0,5.2,108.1
1987,12,9.4,4.9,57.9
1988,1,10.2,4.6,159.0
1988,2,9.5,3.2,71.5
1988,3,10.3,5.4,100.7
1988,4,13.4,5.0,37.3
1988,5,16.3,7.7,51.8
1988,6,19.6,11.5,74.6
1988,7,17.7,12.2,117.7
1988,8,19.0,12.0,98.3
1988,9,17.3,11.2,54.8
1988,10,15.0,8.7,94.1
1988,11,11.4,3.7,47.3
1988,12,10.9,6.8,56.4
1989,1,10.4,4.2,40.3
1989,2,10.6,3.8,97.8
1989,3,11.6,5.0,80.1
1989,4,11.4,3.0,67.2
1989,5,19.6,9.5,10.8
1989,6,19.9,10.4,36.2
1989,7,23.1,14.0,36.6
1989,8,21.4,13.0,50.9
1989,9,19.3,11.4,119.7
1989,10,16.2,10.3,113.4
1989,11,11.7,5.3,69.8
1989,12,9.7,2.8,140.0
1990,1,10.9,5.2,132.9
1990,2,11.8,5.6,141.9
1990,3,12.4,5.6,19.9
1990,4,13.2,4.4,45.7
1990,5,18.9,8.6,32.1
1990,6,17.4,10.6,59.7
1990,7,22.6,12.6,35.2
1990,8,21.9,14.3,59.8
1990,9,18.3,9.7,77.8
1990,10,16.1,10.2,135.2
1990,11,11.2,5.3,74.2
1990,12,8.7,2.6,110.4
1991,1,7.7,1.8,119.8
1991,2,6.8,-1.1,54.5
1991,3,11.9,5.3,65.4
1991,4,12.6,4.7,99.7
1991,5,15.4,8.4,8.7
1991,6,16.5,9.6,107.8
1991,7,20.3,13.5,65.9
1991,8,21.0,12.8,21.8
1991,9,20.4,11.4,83.6
1991,10,14.3,7.9,96.0
1991,11,11.1,5.2,91.8
1991,12,9.0,3.6,39.3
1992,1,7.8,1.1,51.4
1992,2,9.8,3.3,45.9
1992,3,11.0,5.4,50.3
1992,4,12.8,5.6,65.4
1992,5,18.6,9.2,30.0
1992,6,21.0,11.0,21.1
1992,7,20.4,13.3,95.0
1992,8,19.0,12.3,127.7
1992,9,17.3,10.8,55.0
1992,10,12.4,6.1,103.3
1992,11,12.3,6.1,148.8
1992,12,8.4,3.1,68.7
1993,1,10.7,4.7,119.6
1993,2,8.5,4.0,14.8
1993,3,11.0,3.8,21.2
1993,4,13.4,7.0,39.1
1993,5,16.0,8.0,69.4
1993,6,19.1,11.2,179.7
1993,7,18.7,12.7,125.6
1993,8,19.3,11.5,37.5
1993,9,17.5,9.5,78.9
1993,10,12.9,5.8,120.4
1993,11,10.0,3.6,74.2
1993,12,10.1,5.1,163.2
1994,1,9.6,4.3,125.4
1994,2,8.8,2.2,101.9
1994,3,11.3,6.3,96.4
1994,4,12.4,5.7,71.2
1994,5,15.4,7.7,46.4
1994,6,18.0,10.5,29.6
1994,7,21.7,13.0,40.6
1994,8,20.2,13.1,92.4
1994,9,16.8,11.3,113.0
1994,10,15.7,8.1,111.5
1994,11,13.8,9.7,90.4
1995,6,19.3,10.9,11.4
1995,7,22.8,14.3,75.0
1995,8,25.0,14.5,16.8
1995,9,18.5,11.4,97.0
1995,11,12.5,5.6,86.0
1996,1,8.3,4.3,56.4
1996,2,7.8,1.2,67.0
1996,3,9.7,3.1,46.6
1996,4,12.8,5.6,79.0
1996,5,14.3,6.2,85.2
1996,6,18.5,10.0,33.4
1996,7,20.5,12.6,28.6
1996,8,20.7,13.0,65.2
1996,9,18.8,10.8,31.0
1996,10,15.7,10.6,100.6
1996,11,11.0,5.0,125.2
1997,1,6.4,1.4,11.4
1997,2,10.8,4.8,89.2
1997,3,12.4,5.8,24.6
1997,4,14.5,5.1,20.2
1997,5,17.3,8.2,63.6
1997,6,18.2,11.6,101.6
1997,7,20.4,12.7,39.0
1997,8,22.0,15.7,131.6
1997,9,19.3,11.3,30.2
1997,10,16.0,9.0,98.6
1997,11,13.1,6.9,145.6
1997,12,10.6,4.8,72.0
1998,1,9.5,3.8,106.8
1998,2,11.9,4.6,26.8
1998,3,11.8,6.1,92.2
1998,4,11.9,5.5,108.2
1998,5,18.3,9.5,34.0
1998,6,18.1,12.0,107.0
1998,7,18.7,13.3,77.0
1998,8,20.0,12.5,30.0
1998,9,18.8,12.5,80.6
1998,10,15.1,9.6,160.8
1998,11,11.1,5.7,97.8
1998,12,10.6,4.0,90.2
1999,1,10.5,4.4,125.6
1999,2,9.3,4.5,70.2
1999,3,11.2,4.7,39.4
1999,4,13.4,7.2,83.2
1999,5,17.3,10.4,40.4
1999,6,18.0,10.4,81.0
1999,7,21.9,13.8,19.2
1999,8,21.2,13.6,92.2
1999,9,20.0,11.8,106.6
1999,10,15.3,8.6,91.4
1999,11,12.2,6.5,59.8
1999,12,10.0,4.9,214.6
2000,1,9.1,2.6,38.8
2000,2,10.5,5.1,110.0
2000,3,11.4,4.9,36.6
2000,4,12.4,5.0,109.0
2000,5,16.7,9.2,103.4
2000,6,19.0,11.6,32.6
2000,7,19.9,12.9,119.0
2000,8,20.6,14.0,82.4
2000,9,19.1,12.3,137.8
2000,10,14.6,8.8,228.2
2000,11,11.2,5.9,220.2
2000,12,10.0,5.3,155.6
2001,1,8.3,2.7,78.6
2001,2,9.6,3.1,69.6
2001,3,10.1,4.2,91.0
2001,4,12.0,5.5,82.6
2001,5,17.7,9.0,22.4
2001,6,19.1,10.4,45.6
2001,7,20.6,13.0,62.0
2001,8,20.9,13.9,58.0
2001,9,18.6,11.9,29.6
2001,10,17.7,11.5,112.6
2001,11,12.6,5.4,90.2
2001,12,8.9,2.0,37.2
2002,1,10.3,4.8,95.8
2002,2,11.1,5.4,124.8
2002,3,12.2,5.5,44.4
2002,4,13.5,5.9,49.2
2002,5,16.0,8.6,114.4
2002,6,17.2,11.2,41.2
2002,8,20.2,13.1,32.4
2002,9,19.4,10.4,24.8
2002,10,15.1,8.8,119.6
2002,11,13.1,7.9,139.6
2002,12,9.5,5.2,114.4
2003,1,8.4,3.1,57.6
2003,2,8.8,2.7,46.2
2003,3,13.2,4.9,44.8
2003,4,15.3,5.6,38.4
2003,5,15.5,9.0,60.6
2003,6,19.9,11.5,44.0
2003,7,21.1,13.8,83.6
2003,8,22.8,14.1,28.8
2003,9,20.0,10.3,20.8
2003,10,14.1,7.0,78.8
2003,11,12.6,6.3,92.4
2003,12,9.9,4.3,119.4
2004,1,9.6,4.3,117.6
2004,2,9.2,3.5,46.9
2004,3,11.1,4.0,49.8
2004,4,13.3,6.6,48.4
2004,5,16.7,8.4,32.0
2004,6,19.2,12.0,49.4
2004,8,21.1,14.3,124.8
2004,9,18.9,12.8,60.5
2004,10,14.5,8.7,141.6
2004,11,12.3,7.6,43.0
2004,12,10.2,4.7,116.3
2005,1,10.4,5.7,57.4
2005,2,8.2,2.9,47.4
2005,3,11.4,5.2,56.0
2005,4,13.7,6.5,71.0
2005,5,15.6,8.2,38.4
2005,6,19.6,12.4,105.3
2005,7,20.8,14.2,63.0
2005,8,20.4,12.3,42.6
2005,9,19.6,12.1,68.8
2005,10,16.8,11.4,122.4
2005,11,11.6,4.0,103.0
2005,12,9.5,2.9,81.2
2006,1,8.4,2.7,43.0
2006,2,7.5,2.4,38.7
2006,3,9.5,3.9,74.0
2006,4,12.9,6.3,22.4
2006,5,15.8,8.9,91.2
2006,7,24.2,14.5,28.2
2006,8,20.0,14.1,24.0
2006,9,21.3,13.6,35.6
2006,10,16.8,11.3,117.0
2006,11,13.0,5.7,127.8
2006,12,10.4,5.9,96.6
2007,1,10.8,6.1,73.9
2007,2,10.7,5.2,117.8
2007,3,11.7,4.6,50.0
2007,4,17.0,7.2,9.0
2007,5,16.2,9.5,118.8
2007,6,18.9,12.2,123.2
2007,7,18.6,12.8,131.6
2007,8,20.1,12.4,67.0
2007,9,18.7,11.2,34.0
2007,10,15.7,9.0,40.6
2007,11,12.3,6.2,54.8
2007,12,9.8,3.9,105.6
2008,1,10.7,5.4,105.4
2008,2,10.9,3.0,36.4
2008,3,10.4,5.0,84.8
2008,4,12.2,5.2,52.5
2008,5,18.6,10.0,75.4
2008,6,17.9,11.1,30.4
2008,7,19.8,13.0,116.4
2008,8,19.0,14.1,118.0
2008,9,17.9,10.4,100.2
2008,10,14.5,8.4,94.0
2008,11,11.2,6.7,100.4
2008,12,8.4,2.7,60.6
2009,1,7.7,1.7,91.2
2009,2,7.9,3.0,62.6
2009,3,11.4,4.1,59.4
2009,4,14.3,6.1,39.8
2009,5,16.1,8.7,49.0
2009,6,20.1,11.7,58.6
2009,7,19.5,13.8,233.0
2009,8,19.6,13.8,54.2
2009,9,18.2,11.2,36.2
2009,10,16.1,9.6,93.8
2009,11,12.7,7.7,190.2
2009,12,8.0,2.4,92.6
2010,1,6.3,-0.3,64.6
2010,2,7.7,2.1,58.2
2010,3,10.6,3.0,52.6
2010,4,14.4,5.0,27.2
2010,5,15.8,7.4,49.4
2010,6,19.9,11.1,20.4
2010,7,20.3,14.0,100.2
2010,8,19.4,12.8,105.2
2010,9,18.3,11.1,69.4
2010,10,15.4,7.8,89.8
2010,11,10.1,4.0,115.6
2010,12,5.4,-2.5,31.2
2011,1,7.8,2.2,100.0
2011,2,10.7,5.4,54.4
2011,3,12.3,3.2,24.2
2011,4,17.4,7.5,10.0
2011,5,16.4,9.4,44.6
2011,6,17.8,10.9,87.4
2011,7,19.6,12.4,78.4
2011,8,19.0,12.5,90.0
2011,9,19.1,12.7,68.6
2011,10,16.7,10.5,99.4
2011,11,13.9,8.2,46.6
2011,12,10.5,6.1,156.6
2012,1,9.8,4.8,78.2
2012,2,8.6,2.8,43.4
2012,3,13.6,4.9,17.8
2012,4,11.5,4.9,124.2
2012,5,16.1,8.3,55.6
2012,6,17.5,11.6,160.0
2012,7,18.7,12.5,114.6
